Website,Industry Sector,Company Type,Company_size_info
BestPeers InfoSystem Private Limited,Information Technology & Services,"Indore, Madhya Pradesh",51-200 employees
Benders Limited,Packaging & Containers,"Wrexham, Clwyd",51-200 employees
Boldgate Commercial Services Limited,Facilities Services,"Uxbridge, Middlesex",11-50 employees
Caterkwik,Business Supplies & Equipment,"9 on LinkedIn
            
 



    Includes members with current employer listed as Caterkwik, including part-time roles.",51-200 employees
Caterlink UK Ltd,Food & Beverages,"Reading, Berkshire","5,001-10,000 employees"
CED Fabrications Ltd,Food & Beverages,"Clayton Le-Moors, Lancashire",51-200 employees
CHR Equipment Ltd,Business Supplies & Equipment,"Preston, Lancashire",2-10 employees
